car_id,brand,year,engine_size,fuel_type,transmission,total_km_travled,condition,price,model,price_category
1,Tesla,2016,2.3,Electric,Manual,114832,Like_New,26613.92,Model X,Affordable
2,BMW,2018,4.4,Electric,Manual,143190,Like_New,14679.61,5 Series,Affordable
3,Audi,2013,4.5,Electric,Manual,181601,Like_New,44402.61,A4,Mid-range
4,Tesla,2011,4.1,Electric,Automatic,68682,New,86374.33,Model Y,Luxury
5,Ford,2009,2.6,Diesel,Manual,223009,Used,73577.1,Mustang,Expensive
6,Audi,2019,2.4,Diesel,Automatic,246553,Used,88969.76,Q7,Luxury
7,Audi,2020,4.0,Electric,Automatic,135486,Like_New,63498.75,Q5,Expensive
8,Tesla,2017,5.3,Electric,Automatic,83030,New,17381.19,Model Y,Affordable
9,Honda,2023,5.7,Electric,Manual,120360,Like_New,15905.62,Civic,Affordable
10,Ford,2010,1.5,Electric,Automatic,135009,Like_New,9560.22,Explorer,Affordable
11,Tesla,2001,1.8,Electric,Automatic,298875,Used,58872.6,Model 3,Expensive
12,Ford,2017,5.7,Electric,Automatic,169737,Like_New,28074.19,Mustang,Affordable
13,Ford,2006,4.7,Petrol,Automatic,114360,Like_New,74766.45,Fiesta,Expensive
14,Audi,2023,5.4,Electric,Automatic,263894,Used,70193.74,Q7,Expensive
15,BMW,2014,2.0,Electric,Automatic,65018,New,35220.52,X3,Mid-range
16,Ford,2010,3.9,Electric,Automatic,240904,Used,21796.16,Mustang,Affordable
17,Mercedes,2017,4.5,Electric,Automatic,136817,Like_New,14728.03,GLA,Affordable
18,Audi,2022,4.4,Hybrid,Automatic,192803,Like_New,75044.95,A3,Expensive
19,Honda,2011,3.0,Electric,Automatic,86984,New,47791.89,Civic,Mid-range
20,BMW,2005,1.1,Petrol,Automatic,290595,Used,35735.34,X5,Mid-range
21,Mercedes,2019,3.9,Petrol,Automatic,192608,Like_New,86382.04,C-Class,Luxury
22,Mercedes,2022,2.3,Electric,Manual,12150,New,61393.26,E-Class,Expensive
23,Honda,2012,3.3,Diesel,Manual,275550,Used,54210.22,CR-V,Expensive
24,BMW,2019,5.8,Hybrid,Automatic,150853,Like_New,75621.02,X5,Expensive
25,Audi,2015,3.0,Electric,Automatic,188489,Like_New,82480.4,Q5,Luxury
26,Toyota,2017,5.2,Electric,Automatic,18325,New,70176.95,Camry,Expensive
27,BMW,2009,1.9,Electric,Manual,199756,Like_New,46800.6,X3,Mid-range
28,Honda,2022,4.4,Diesel,Manual,204541,Used,41033.39,Accord,Mid-range
29,Mercedes,2007,5.9,Diesel,Manual,17669,New,78308.17,GLC,Luxury
30,Audi,2017,1.5,Diesel,Automatic,207836,Used,54201.18,A3,Expensive
31,BMW,2020,1.0,Hybrid,Automatic,132915,Like_New,71916.68,X5,Expensive
32,Toyota,2000,3.2,Petrol,Automatic,196681,Like_New,89587.88,Corolla,Luxury
33,Toyota,2022,1.5,Hybrid,Automatic,50812,New,92009.61,Corolla,Luxury
34,Ford,2007,4.7,Diesel,Manual,278203,Used,31382.99,Fiesta,Mid-range
35,Ford,2005,5.6,Petrol,Automatic,252862,Used,22849.55,Mustang,Affordable
36,Tesla,2004,3.2,Electric,Manual,171840,Like_New,29822.3,Model 3,Mid-range
37,Honda,2014,2.3,Diesel,Manual,25395,New,76380.32,Fit,Luxury
38,BMW,2021,3.2,Diesel,Automatic,282346,Used,40155.51,5 Series,Mid-range
39,BMW,2014,4.6,Hybrid,Manual,229707,Used,21471.98,X3,Affordable
40,Tesla,2001,1.0,Electric,Manual,247181,Used,14346.62,Model X,Affordable
41,Mercedes,2000,3.9,Petrol,Manual,204120,Used,36094.75,E-Class,Mid-range
